rank,company,return_5y_pct,return_10y_pct,bb_ticker,yf_ticker,idBbCompany
260,Flughafen Zurich AG,,,FHZN SW,FHZN.SW,118568
261,United Utilities Group PLC,,,UU LN,UU.L,112022
262,National Grid plc,,,NG LN,NG.L,179563
263,Lloyds Banking Group plc,,,LLOY LN,LLOY.L,112428
264,Orange SA,,,ORA FP,ORA.PA,162094
265,freenet AG,,,FNTN GR,FNTN.DE,11646070
266,GEA Group Aktiengesellschaft,,,G1A GR,G1A.DE,115826
267,Publicis Groupe SA,,,PUB FP,PUB.PA,115471
268,TP ICAP Group plc,,,TCAP LN,TCAP.L,67612197
269,AIB Group plc,,,A5G ID,A5G.IR,800571
270,International Consolidated Airlines Group SA,,,IAG LN,IAG.L,100226
271,Klepierre SA,,,LI FP,LI.PA,115413
272,MITIE Group PLC,,,MTO LN,MTO.L,111978
273,ISS A/S,,,ISS DC,ISS.CO,9933479
274,Centrica plc,,,CNA LN,CNA.L,216204
275,Marks and Spencer Group plc,,,MKS LN,MKS.L,111927
276,K+S AG,,,SDF GR,SDF.DE,117667
277,Telecom Italia S.p.A.,,,TIT IM,TIT.MI,115737
278,Vallourec SA,,,VK FP,VK.PA,115557
279,Siemens Energy AG,,,ENR GR,ENR.DE,68938862
280,Airtel Africa Plc,,,AAF LN,AAF.L,62068199
281,BAWAG Group AG,,,BG AV,BG.VI,55130373
282,TBC Bank Group Plc,,,TBCG LN,TBCG.L,50739947
283,Unicaja Banco S.A.,,,UNI SM,UNI.MC,7351787
284,Technip Energies NV,,,TE FP,TE.PA,67149013
285,Italgas SpA,,,IG IM,IG.MI,50386800
286,Nordnet AB,,,SAVE SS,SAVE.ST,51462581
287,ASR Nederland N.V.,,,ASRNL NA,ASRNL.AS,116215
288,M&G Plc,,,MNG LN,MNG.L,59600722
289,Galenica AG,,,GALE SW,GALE.SW,42240878
