ticker,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage,rf_rate_assumption,benchmark_used
CDI.PA,Consumer Discretionary,0.293,-0.4927,-0.2613,1.3527,25.0,49.37759336099585,74.68879668049793,3.319502074688797,25.0,38.28,0.0,ok,soft_flag,hard_exclude,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,29.3,-49.27,1.3527,2026-05-20,0.025,^STOXX
STAN.L,Financials,0.3253,-0.3073,0.7411,1.2328,50.0,36.09958506224067,24.481327800829874,84.64730290456431,50.0,49.96,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,32.53,-30.73,1.2328,2026-05-20,0.025,^STOXX
KBC.BR,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX
UCB.BR,Health Care,0.2876,-0.4166,0.7085,0.6455,100.0,53.52697095435685,58.09128630705394,81.32780082987551,100.0,72.53,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,28.76,-41.66,0.6455,2026-05-20,0.025,^STOXX
SIKA.SW,Materials,0.2821,-0.6525,-0.5329,1.3403,25.0,55.601659751037346,95.4356846473029,0.4149377593360996,25.0,44.88,0.0,ok,soft_flag,hard_exclude,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,28.21,-65.25,1.3403,2026-05-20,0.025,^STOXX
ASM.AS,Technology,0.4346,-0.5388,0.5352,1.6521,0.0,5.394190871369304,80.91286307053942,62.655601659751035,0.0,44.15,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,43.46,-53.88,1.6521,2026-05-20,0.025,^STOXX
ARCAD.AS,Industrials,0.2885,-0.6002,-0.0396,1.0689,100.0,51.86721991701245,90.87136929460581,12.448132780082988,100.0,61.37,0.0,ok,soft_flag,hard_exclude,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,28.85,-60.02,1.0689,2026-05-20,0.025,^STOXX
SRP.L,Technology,0.2277,-0.2917,0.5083,0.6786,100.0,80.91286307053942,21.161825726141075,58.09128630705395,100.0,59.96,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,22.77,-29.17,0.6786,2026-05-20,0.025,^STOXX
SAND.ST,Industrials,0.2752,-0.3924,0.4083,1.3601,25.0,60.16597510373444,50.20746887966805,43.983402489626556,25.0,45.29,0.0,ok,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.52,-39.24,1.3601,2026-05-20,0.025,^STOXX
MAP.MC,Financials,0.2111,-0.2002,0.9133,0.785,100.0,87.34439834024896,2.0746887966805048,94.1908713692946,100.0,66.35,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,21.11,-20.02,0.785,2026-05-20,0.025,^STOXX
