ticker,bics_sector,E_score,S_score,G_score,ESG_score,esg_data_flag,sasb_e_weight,sasb_s_weight,sasb_g_weight,bloomberg_esg_disclosure,sustainalytics_risk_score,tri_sources_available,tri_passes,triangulation_result,carbon_intensity,ci_source,data_vintage
VOL3,Industrials,92.91,48.46,39.989055881105244,66.77,OK,0.45,0.35,0.2,54.65,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
VHM,Industrials,70.12,55.81,34.46755974015485,57.98,OK,0.45,0.35,0.2,68.29,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
TCO0,Consumer Staples,55.7,56.37,83.58241884417029,62.94,OK,0.35,0.4,0.25,48.12,,2,1,WATCHLIST,85.39,sector_median_imputed,2026-05-14
BNP,Financials,55.78,57.5,75.208014462711,65.12,OK,0.2,0.35,0.45,58.81,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
ASG,Financials,71.22,68.36,65.03512906982809,67.44,OK,0.2,0.35,0.45,55.94,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
SOAN,Financials,66.76,58.78,85.04274983557755,72.19,OK,0.2,0.35,0.45,59.63,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
SND,Industrials,71.82,49.42,73.97034733204666,64.41,OK,0.45,0.35,0.2,61.26,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
NOA3,Technology,69.54,34.72,64.04406684595243,55.15,OK,0.25,0.35,0.4,66.25,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
BSI,Technology,66.67,32.29,55.595576800907985,50.21,OK,0.25,0.35,0.4,44.28,,2,1,WATCHLIST,7.99,sector_median_imputed,2026-05-14
ASME,Technology,59.49,52.57,82.95406068078985,66.45,OK,0.25,0.35,0.4,61.28,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
8RJ,Industrials,56.75,10.67,65.01312400126137,42.27,OK,0.45,0.35,0.2,50.84,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
NOH1,Materials,72.32,63.69,90.05375029674273,73.28,OK,0.5,0.3,0.2,73.34,,2,2,PASS,4285.61,sector_median_imputed,2026-05-14
ENA,Utilities,53.63,63.08,51.986179611672924,55.58,OK,0.5,0.25,0.25,67.53,,2,2,PASS,629.82,sector_median_imputed,2026-05-14
BSD2,Financials,67.65,64.37,59.754700467642465,62.95,OK,0.2,0.35,0.45,58.96,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
SUL1,Industrials,65.65,56.58,97.18262699703435,68.78,OK,0.45,0.35,0.2,46.1,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
NXG,Consumer Discretionary,98.99,76.66,86.48017258638397,86.93,OK,0.35,0.4,0.25,62.63,,2,2,PASS,0.0,sector_median_imputed,2026-05-14
IVS,Financials,50.0,75.11,50.88578371587756,59.19,OK,0.2,0.35,0.45,38.26,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
SGM,Technology,73.62,62.16,63.68839909506752,65.64,OK,0.25,0.35,0.4,65.41,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
NCYD,Communications,66.53,33.09,83.54968920708215,61.6,OK,0.4,0.3,0.3,48.0,,2,1,WATCHLIST,7.99,sector_median_imputed,2026-05-14
RYSD,Financials,94.04,50.68,89.05288291769318,76.62,OK,0.2,0.35,0.45,52.11,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
1SQ,Financials,99.94,36.81,94.90221878909239,75.58,OK,0.2,0.35,0.45,35.21,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
EBO,Financials,99.98,51.07,52.07273395133711,61.3,OK,0.2,0.35,0.45,50.82,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
BOY,Financials,50.89,71.5,60.94151198019779,62.63,OK,0.2,0.35,0.45,57.29,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
STD,Financials,58.03,64.94,66.7500811518108,64.37,OK,0.2,0.35,0.45,61.56,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
KDB,Financials,47.46,43.69,40.3426470679769,42.94,OK,0.2,0.35,0.45,54.19,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
UNC,Health Care,66.75,74.42,79.06801637950865,74.13,OK,0.25,0.4,0.35,53.55,,2,2,PASS,7.99,bloomberg_calc,2026-05-14
AVS,Technology,100.0,60.36,74.35813881182436,75.87,OK,0.25,0.35,0.4,49.52,,2,1,WATCHLIST,7.99,sector_median_imputed,2026-05-14
SEO,Technology,50.04,37.09,84.12470169688613,59.14,OK,0.25,0.35,0.4,53.44,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
SVKB,Industrials,74.94,62.11,44.27560644003265,64.32,OK,0.45,0.35,0.2,61.58,,2,2,PASS,4.87,bloomberg_calc,2026-05-14
OCI1,Industrials,70.62,60.88,43.560391262934466,61.8,OK,0.45,0.35,0.2,64.95,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
JYS1,Financials,50.04,74.59,43.80381230268822,55.83,OK,0.2,0.35,0.45,30.99,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
IMI1,Industrials,99.99,25.87,79.97882228836427,70.05,OK,0.45,0.35,0.2,46.95,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
ABJ,Industrials,71.64,58.26,72.5752744427437,67.14,OK,0.45,0.35,0.2,66.2,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
HBC1,Financials,53.66,56.94,87.0524189531154,69.83,OK,0.2,0.35,0.45,63.26,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
DB1,Financials,50.11,38.51,62.92220269705482,51.82,OK,0.2,0.35,0.45,51.63,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
SOC,Energy,91.92,4.5,66.61606089600545,65.0,OK,0.55,0.25,0.2,56.13,,2,2,PASS,53.27,bloomberg_calc,2026-05-14
MLT,Technology,100.0,40.04,60.21766407615127,63.1,OK,0.25,0.35,0.4,45.35,,2,1,WATCHLIST,7.99,sector_median_imputed,2026-05-14
UCM,Materials,33.03,40.32,62.76477681233989,41.16,OK,0.5,0.3,0.2,60.3,,2,1,WATCHLIST,6439.03,bloomberg_calc,2026-05-14
BIH,Industrials,99.85,37.6,81.85600214280973,74.46,OK,0.45,0.35,0.2,58.59,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
AA9,Industrials,68.16,29.45,57.136471963928365,52.41,OK,0.45,0.35,0.2,52.15,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
AJ3,Industrials,73.37,48.32,73.25417352745208,64.58,OK,0.45,0.35,0.2,69.76,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
IHCB,Energy,100.0,49.23,94.55078730664192,86.22,OK,0.55,0.25,0.2,59.73,,2,2,PASS,93.825,sector_median_imputed,2026-05-14
DNQ,Energy,65.81,65.45,80.59872366031203,68.68,OK,0.55,0.25,0.2,58.51,,2,2,PASS,93.825,sector_median_imputed,2026-05-14
IFX,Technology,,,93.7837104180618,73.07,OK,0.25,0.35,0.4,62.33,,2,2,PASS,7.99,sector_median_imputed,2026-05-14
IGQ5,Financials,71.73,70.89,82.30173573581735,76.19,OK,0.2,0.35,0.45,52.03,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
RITN,Consumer Discretionary,57.79,58.08,70.16451183057661,61.0,OK,0.35,0.4,0.25,57.27,,2,2,PASS,0.0,sector_median_imputed,2026-05-14
TLLB,Industrials,63.3,20.79,40.99881130293318,43.96,OK,0.45,0.35,0.2,52.57,,2,1,WATCHLIST,14.68,bloomberg_calc,2026-05-14
EAM,Utilities,74.81,50.25,50.38270530539773,62.56,OK,0.5,0.25,0.25,76.64,,2,2,PASS,629.82,bloomberg_calc,2026-05-14
EOAN,Utilities,85.61,57.3,72.2250789247106,75.19,OK,0.5,0.25,0.25,70.52,,2,2,PASS,629.82,sector_median_imputed,2026-05-14
MTA,Industrials,90.89,58.77,74.42380626375203,76.35,OK,0.45,0.35,0.2,72.45,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
HNR1,Financials,48.14,64.37,42.78263253845101,51.41,OK,0.2,0.35,0.45,46.88,,2,1,WATCHLIST,0.09,bloomberg_calc,2026-05-14
ZEG,Health Care,60.01,84.55,70.98285005388038,73.67,OK,0.25,0.4,0.35,65.31,,2,2,PASS,15.735,sector_median_imputed,2026-05-14
BCY,Financials,99.98,40.33,83.3213593079834,71.61,OK,0.2,0.35,0.45,54.81,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
