ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage
F6O1,FLS.CO,FLSmidth & Co. A/S,Resource Transformation,Average,27.62,Medium,,1,1,BORDERLINE,False,False,False,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
IBE1,IBE.MC,Iberdrola SA,Infrastructure,Average,18.6,Low,Good,3,0,PASS,True,False,False,False,,115.0,-0.1022013075362197,51.0548523206751,36.49,82.58,55.99,51.05,629.82,sector_median_imputed,2026-05-20
UZAA,FHZN.SW,Flughafen Zurich AG,Services,Average,21.43,Medium,Medium,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,48.02,bloomberg_calc,2026-05-20
2D7,BEZ.L,Beazley Plc,Financials,Average,17.0,Low,Medium,3,0,PASS,True,False,False,False,,27.0,0.3827171882012781,89.0295358649789,78.15,36.62,69.63,89.03,0.72,sector_median_imputed,2026-05-20
G7W,GAW.L,Games Workshop Group PLC,Consumer Goods,Average,13.79,Low,Poor,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,0.0,sector_median_imputed,2026-05-20
HNR1,HNR1.DE,Hannover Rueck SE,Financials,Average,16.3,Low,Medium,3,0,PASS,True,False,False,False,,76.0,0.1790905495425352,68.35443037974683,73.27,58.59,39.29,68.35,0.09,bloomberg_calc,2026-05-20
STD,STAN.L,Standard Chartered PLC,Financials,Average,17.7,Low,Medium,3,0,PASS,True,False,False,False,,26.0,0.3877966562327568,89.45147679324894,78.15,49.19,63.11,89.45,0.72,sector_median_imputed,2026-05-20
IC1H,IHG.L,InterContinental Hotels Group PLC,Services,Average,19.6,Low,Good,3,0,PASS,True,False,False,False,,120.0,-0.1389316016603839,48.9451476793249,33.34,74.2,61.73,48.95,0.0,sector_median_imputed,2026-05-20
HBC1,HSBA.L,HSBC Holdings Plc,Financials,Average,13.49,Low,Medium,3,0,PASS,True,False,False,False,,17.0,0.4382650868009517,93.24894514767934,78.15,58.09,64.64,93.25,0.72,sector_median_imputed,2026-05-20
MOV,MONC.MI,Moncler SpA,Consumer Goods,Average,8.5,Negligible,Good,3,0,PASS,True,False,False,False,,86.0,0.1212881727039412,64.13502109704642,54.07,56.53,68.03,64.14,0.0,sector_median_imputed,2026-05-20
B6E,SOBI.ST,Swedish Orphan Biovitrum AB,Health Care,Laggard,19.0,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Laggard,82.0,0.1519989413421956,65.82278481012658,78.15,31.28,42.41,65.82,7.99,sector_median_imputed,2026-05-20
DB1,DB1.DE,Deutsche Boerse AG,Financials,Below Average,13.0,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,95.0,0.0474176197479661,60.33755274261603,78.15,41.99,22.57,60.34,0.72,sector_median_imputed,2026-05-20
I5G,IGG.L,IG Group Holdings plc,Financials,Average,21.96,Medium,Medium,2,1,PASS,True,False,False,False,,197.0,-0.8227454571322641,13.50210970464135,6.47,36.62,42.67,13.5,0.72,sector_median_imputed,2026-05-20
I1M,INDT.ST,Indutrade AB,Resource Transformation,Average,18.39,Low,Medium,3,0,PASS,True,False,False,False,,172.0,-0.5276473974313497,24.05063291139241,49.4,0.0,23.75,24.05,0.91,bloomberg_calc,2026-05-20
IFX,IFX.DE,Infineon Technologies AG,Technology & Communications,Average,18.88,Low,Medium,3,0,PASS,True,False,False,False,,193.0,-0.75,14.9789029535865,24.39,36.62,19.42,14.98,16.72,sector_median_imputed,2026-05-20
6GF,ING.WA,ING Bank Slaski S.A.,Financials,Below Average,15.39,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,30.0,0.3446197214013231,87.76371308016878,78.15,76.11,42.06,87.76,0.72,sector_median_imputed,2026-05-20
BAKA,BKT.MC,Bankinter SA,Financials,Average,18.4,Low,Medium,3,0,PASS,True,False,False,False,,150.0,-0.3344687935067248,34.17721518987342,36.41,56.07,40.83,34.18,0.72,bloomberg_calc,2026-05-20
BIH,BBY.L,Balfour Beatty plc,Infrastructure,Average,33.2,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
NOH1,NHY.OL,Norsk Hydro ASA,Extractives & Minerals Processing,Below Average,13.5,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,3.0,0.6298747031730955,99.15611814345992,75.56,76.56,83.96,99.16,2149.74,sector_median_imputed,2026-05-20
INR,IAG.L,International Consolidated Airlines Group SA,Transportation,Average,19.39,Low,Medium,3,0,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
8IG,IP.MI,Interpump Group S.p.A.,Resource Transformation,Average,31.94,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
LRC,LR.PA,Legrand SA,Resource Transformation,Average,13.7,Low,Good,3,0,PASS,True,False,False,False,,122.0,-0.143687511474969,48.10126582278481,44.84,83.31,34.85,48.1,19.57,sector_median_imputed,2026-05-20
I7G,IPN.PA,Ipsen SA,Health Care,Average,21.92,Medium,Medium,2,1,PASS,True,False,False,False,,78.0,0.1681224405405086,67.51054852320675,73.11,70.74,31.19,67.51,7.99,sector_median_imputed,2026-05-20
OMV,OMV.VI,OMV AG,Extractives & Minerals Processing,Average,32.9,High,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,277.65500000000003,sector_median_imputed,2026-05-20
JYS1,JYSK.CO,Jyske Bank A/S,Financials,Below Average,19.99,Low,,1,1,BORDERLINE,False,False,False,,,,,,0.0,0.0,0.0,0.0,0.72,sector_median_imputed,2026-05-20
E4S,ELI.BR,Elia Group SA/NV,Infrastructure,Average,18.1,Low,Good,3,0,PASS,True,False,False,False,,177.0,-0.5787834908672391,21.9409282700422,30.37,43.37,27.09,21.94,629.82,sector_median_imputed,2026-05-20
ALV,ALV.DE,Allianz SE,Financials,Average,13.2,Low,Medium,3,0,PASS,True,False,False,False,,62.0,0.2440579759027272,74.26160337552743,78.15,57.81,39.33,74.26,0.72,sector_median_imputed,2026-05-20
KB9,KBCA.BR,KBC Ancora SCA,Financials,Average,10.2,Low,Poor,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,0.72,sector_median_imputed,2026-05-20
IES,ISP.MI,Intesa Sanpaolo S.p.A.,Financials,Average,8.2,Negligible,Good,3,0,PASS,True,False,False,False,,32.0,0.3355869977972824,86.91983122362869,78.15,60.21,49.96,86.92,0.72,sector_median_imputed,2026-05-20
KGHA,KGH.WA,KGHM Polska Miedz S.A.,Extractives & Minerals Processing,Average,37.6,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20
KRX,KRX.IR,Kingspan Group Plc,Extractives & Minerals Processing,Average,19.33,Low,Good,3,0,PASS,True,False,False,False,,128.0,-0.1917651918176247,44.30379746835442,60.68,48.48,19.46,44.3,2149.74,sector_median_imputed,2026-05-20
K34,KCR.HE,Konecranes Oyj,Resource Transformation,Average,13.68,Low,Good,3,0,PASS,True,False,False,False,,106.0,-0.035203512000967,54.85232067510548,53.07,46.47,55.08,54.85,19.57,sector_median_imputed,2026-05-20
FNL,FRES.L,Fresnillo PLC,Extractives & Minerals Processing,Below Average,28.3,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20
ENL,ENEL.MI,Enel SpA,Infrastructure,Below Average,17.4,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,100.0,-0.0020709442632994,58.22784810126582,41.04,83.81,60.1,58.23,629.82,sector_median_imputed,2026-05-20
EOAN,EOAN.DE,E.ON SE,Infrastructure,Average,17.1,Low,Good,3,0,PASS,True,False,False,False,,65.0,0.2372109067531796,72.9957805907173,52.98,84.67,69.14,73.0,629.82,sector_median_imputed,2026-05-20
C0Q,CCH.L,Coca-Cola HBC AG,Food & Beverage,Average,16.5,Low,Good,3,0,PASS,True,False,False,False,,121.0,-0.1409170839512019,48.52320675105485,45.78,61.21,46.13,48.52,85.39,bloomberg_calc,2026-05-20
LS4C,LSEG.L,London Stock Exchange Group plc,Financials,Average,13.79,Low,Medium,3,0,PASS,True,False,False,False,,49.0,0.2719079935547147,79.74683544303798,78.15,45.66,49.92,79.75,0.72,sector_median_imputed,2026-05-20
LO3,LONN.SW,Lonza Group AG,Health Care,Average,15.8,Low,Good,3,0,PASS,True,False,False,False,,147.0,-0.3213367639364513,35.44303797468354,21.98,66.39,63.05,35.44,0.0,bloomberg_calc,2026-05-20
MOH,MC.PA,LVMH Moet Hennessy Louis Vuitton SE,Consumer Goods,Below Average,13.55,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,144.0,-0.2868847007319061,37.13080168776371,40.68,59.43,37.32,37.13,0.0,sector_median_imputed,2026-05-20
7MP,MNG.L,M&G Plc,Financials,Average,22.36,Medium,Medium,2,1,PASS,True,False,False,False,,18.0,0.4290544036834607,92.82700421940928,78.15,48.49,68.92,92.83,0.72,sector_median_imputed,2026-05-20
CMAB,MAP.MC,Mapfre SA,Financials,Average,17.81,Low,Medium,3,0,PASS,True,False,False,False,,75.0,0.1911896615232151,68.77637130801688,78.15,63.46,29.16,68.78,0.72,sector_median_imputed,2026-05-20
BRU,MBK.WA,mBank SA,Financials,Average,15.36,Low,Medium,3,0,PASS,True,False,False,False,,196.0,-0.816769258399034,13.92405063291139,6.47,68.27,25.37,13.92,0.72,sector_median_imputed,2026-05-20
DNQ,EQNR.OL,Equinor ASA,Extractives & Minerals Processing,Average,27.4,Medium,Medium,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,277.65500000000003,sector_median_imputed,2026-05-20
RYSD,NWG.L,NatWest Group Plc,Financials,Average,13.0,Low,Good,3,0,PASS,True,False,False,False,,10.0,0.484989152706588,96.20253164556962,78.15,54.96,72.56,96.2,0.72,sector_median_imputed,2026-05-20
TCO0,TSCO.L,Tesco PLC,Food & Beverage,Average,18.8,Low,Good,3,0,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,85.39,sector_median_imputed,2026-05-20
AIL,AI.PA,Air Liquide SA,Resource Transformation,Average,13.0,Low,Medium,3,0,PASS,True,False,False,False,,184.0,-0.6666965799498794,18.9873417721519,0.0,89.68,44.67,18.99,2149.74,sector_median_imputed,2026-05-20
56S1,DIM.PA,Sartorius Stedim Biotech SA,Health Care,Above Average,15.6,Low,Good,3,0,PASS,True,False,False,False,,182.0,-0.6572802962432942,19.83122362869198,29.94,45.84,16.16,19.83,7.99,sector_median_imputed,2026-05-20
MZ4,MTO.L,MITIE Group PLC,Services,Average,12.22,Low,Good,3,0,PASS,True,False,False,False,,92.0,0.0518930903314786,61.60337552742617,62.13,60.93,41.66,61.6,19.57,sector_median_imputed,2026-05-20
M1H,MOBN.SW,Mobimo Holding AG,Infrastructure,Above Average,13.45,Low,Medium,3,0,PASS,True,False,False,False,,98.0,0.0202843369838555,59.07172995780591,37.77,83.59,69.14,59.07,16.72,sector_median_imputed,2026-05-20
MLT,MYCR.ST,Mycronic AB,Technology & Communications,Average,11.51,Low,Medium,3,0,PASS,True,False,False,False,,124.0,-0.1588720467751,46.83544303797469,60.23,32.76,33.58,46.84,16.72,sector_median_imputed,2026-05-20
NNGF,NG.L,National Grid plc,Infrastructure,Below Average,12.71,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,119.0,-0.1341176616674978,49.36708860759494,40.26,44.87,66.45,49.37,629.82,sector_median_imputed,2026-05-20
NEM,NEM.DE,Nemetschek SE,Technology & Communications,Average,16.45,Low,Medium,3,0,PASS,True,False,False,False,,138.0,-0.246411667074216,40.08438818565401,24.39,57.77,73.39,40.08,16.72,sector_median_imputed,2026-05-20
HIJ2,ARCAD.AS,Arcadis NV,Infrastructure,Average,15.8,Low,Medium,3,0,PASS,True,False,False,False,,41.0,0.3034581062246457,83.12236286919831,54.29,95.69,69.14,83.12,19.57,sector_median_imputed,2026-05-20
NXG,NXT.L,Next plc,Consumer Goods,Average,16.84,Low,Medium,3,0,PASS,True,False,False,False,,79.0,0.1669190664266716,67.08860759493672,58.9,56.21,65.36,67.09,0.0,sector_median_imputed,2026-05-20
SIKA,SIKA.SW,Sika AG,Resource Transformation,Average,21.7,Medium,Good,2,1,PASS,True,False,False,False,,85.0,0.1275609768776536,64.55696202531645,73.11,52.09,36.53,64.56,2149.74,sector_median_imputed,2026-05-20
